annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 February 2020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Oct 2018-Sep 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parliamentary constituency 2010,mnemonic,Numerator,Denominator,"% all in employment who are - 1: managers, directors and senior officials (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 2: professional occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 3: associate prof & tech occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 4: administrative and secretarial occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 5: skilled trades occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 7: sales and customer service occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 8: process, plant and machine operatives (SOC2010)",Conf
Sedgefield,E14000915,3500,37400,9.3,3.9,6700,37400,17.9,5.2,4900,37400,13.1,4.5,2700,37400,7.3,3.5,5100,37400,13.6,4.6,5000,37400,13.5,4.6,2600,37400,6.8,3.4,4200,37400,11.2,4.2
South Shields,E14000944,3200,29700,10.6,3.7,5300,29700,17.7,4.6,4300,29700,14.5,4.2,2300,29700,7.8,3.2,2100,29700,6.9,3.1,3500,29700,11.7,3.9,3200,29700,10.9,3.7,2500,29700,8.3,3.3
Stockton North,E14000970,3700,39300,9.4,3.5,4900,39300,12.6,4,3600,39300,9.2,3.5,3200,39300,8,3.3,5200,39300,13.3,4.1,6200,39300,15.8,4.4,3900,39300,9.8,3.6,3700,39300,9.3,3.5
Stockton South,E14000971,3400,49600,6.9,2.7,12700,49600,25.6,4.7,6500,49600,13,3.6,6100,49600,12.3,3.5,5900,49600,11.8,3.5,4900,49600,9.9,3.2,4300,49600,8.6,3,1800,49600,3.7,2
Sunderland Central,E14000982,2700,42600,6.4,3.1,7100,42600,16.8,4.8,5300,42600,12.5,4.2,3300,42600,7.8,3.4,4100,42600,9.7,3.8,6100,42600,14.4,4.5,5400,42600,12.6,4.2,3800,42600,9,3.6
Tynemouth,E14001006,3600,44200,8,3.4,9700,44200,22,5.2,9200,44200,20.7,5.1,5500,44200,12.4,4.1,2100,44200,4.8,2.7,4600,44200,10.3,3.8,2900,44200,6.5,3.1,2400,44200,5.5,2.8
Wansbeck,E14001014,3300,33000,9.9,4.4,6300,33000,18.9,5.8,2700,33000,8.2,4.1,3300,33000,10.1,4.5,3900,33000,11.9,4.8,4200,33000,12.8,4.9,2800,33000,8.5,4.1,1600,33000,4.8,*
Washington and Sunderland West,E14001020,3900,40700,9.6,3.8,6500,40700,16,4.7,3900,40700,9.7,3.8,3400,40700,8.5,3.6,4000,40700,9.8,3.8,2900,40700,7.1,3.3,4600,40700,11.4,4.1,3900,40700,9.5,3.8
Altrincham and Sale West,E14000532,6800,48900,14,4,14600,48900,29.9,5.3,9900,48900,20.3,4.6,6500,48900,13.2,3.9,2800,48900,5.8,2.7,3000,48900,6.1,2.7,2400,48900,5,2.5,1100,48900,2.3,*
Ashton-under-Lyne,E14000537,4400,42800,10.3,3.6,6500,42800,15.2,4.3,6300,42800,14.7,4.2,4300,42800,10.1,3.6,5200,42800,12,3.9,3200,42800,7.4,3.1,5500,42800,12.9,4,2700,42800,6.2,2.9
Barrow and Furness,E14000543,2700,37600,7.1,*,9600,37600,25.4,7.7,5000,37600,13.2,6,2900,37600,7.7,4.7,6100,37600,16.3,6.5,4000,37600,10.6,5.4,!,37600,!,!,2200,37600,5.7,*
Birkenhead,E14000559,3600,35100,10.2,4.8,5400,35100,15.3,5.8,4000,35100,11.5,5.1,3200,35100,9,4.6,3800,35100,10.9,5,2500,35100,7.1,4.1,4500,35100,12.8,5.4,2400,35100,6.7,4
Blackburn,E14000570,3700,44200,8.4,2.4,5900,44200,13.4,2.9,5400,44200,12.2,2.8,3800,44200,8.5,2.4,4600,44200,10.5,2.6,5600,44200,12.7,2.9,4200,44200,9.4,2.5,5200,44200,11.8,2.8
Blackley and Broughton,E14000571,4500,58200,7.8,4,8500,58200,14.6,5.2,4000,58200,6.9,3.8,8800,58200,15.1,5.3,4700,58200,8,4,5500,58200,9.5,4.3,8500,58200,14.6,5.2,4600,58200,7.9,4
Blackpool North and Cleveleys,E14000572,4600,43000,10.6,2.9,7600,43000,17.6,3.6,5700,43000,13.4,3.2,5100,43000,11.8,3.1,3900,43000,9,2.7,5900,43000,13.7,3.3,2900,43000,6.7,2.4,2700,43000,6.3,2.3
Blackpool South,E14000573,2900,31000,9.4,2.9,5300,31000,17.1,3.7,2900,31000,9.4,2.9,3600,31000,11.5,3.1,3500,31000,11.3,3.1,3000,31000,9.6,2.9,3000,31000,9.7,2.9,2200,31000,7.2,2.5
Bolton North East,E14000578,3500,37900,9.1,4.1,8200,37900,21.6,5.9,4200,37900,11.1,4.5,3300,37900,8.6,4,2000,37900,5.4,*,5000,37900,13.1,4.8,2800,37900,7.3,3.7,3300,37900,8.7,4
Bolton South East,E14000579,3300,45100,7.2,3.4,5400,45100,12,4.3,5500,45100,12.1,4.3,4600,45100,10.1,4,4800,45100,10.7,4.1,6300,45100,13.9,4.5,2600,45100,5.9,3.1,3600,45100,7.9,3.5
Bolton West,E14000580,7300,53000,13.8,4.2,11700,53000,22.1,5,9300,53000,17.5,4.6,5000,53000,9.5,3.6,5200,53000,9.8,3.6,4100,53000,7.7,3.2,3400,53000,6.3,3,2100,53000,4.1,*
Bootle,E14000581,2900,41100,7.1,3.6,7100,41100,17.3,5.2,3600,41100,8.8,3.9,6800,41100,16.5,5.1,3900,41100,9.6,4.1,5000,41100,12.2,4.5,4400,41100,10.7,4.3,2900,41100,7,3.5
Burnley,E14000609,4300,35500,12,*,6200,35500,17.4,8.4,!,35500,!,!,2000,35500,5.7,*,5100,35500,14.3,7.8,3800,35500,10.7,6.8,5400,35500,15.3,8,1400,35500,3.8,*
Bury North,E14000611,5100,42400,12.1,3.5,7200,42400,16.9,4.1,6300,42400,14.8,3.8,4700,42400,11.2,3.4,4800,42400,11.4,3.4,4500,42400,10.7,3.3,2900,42400,6.8,2.7,2700,42400,6.3,2.6
Bury South,E14000612,5300,43100,12.2,3.5,11800,43100,27.3,4.8,6700,43100,15.5,3.9,5600,43100,13,3.6,2200,43100,5.1,2.4,3100,43100,7.1,2.7,2700,43100,6.2,2.6,1400,43100,3.3,1.9
Carlisle,E14000620,2300,48100,4.9,*,6100,48100,12.6,5.5,5700,48100,11.9,5.4,7600,48100,15.9,6.1,8400,48100,17.4,6.3,3100,48100,6.5,4.1,3200,48100,6.6,4.1,5200,48100,10.9,5.2
Cheadle,E14000627,8200,50300,16.4,5.2,15500,50300,30.7,6.4,8300,50300,16.5,5.2,4500,50300,9,4,2700,50300,5.4,3.1,3400,50300,6.7,3.5,3100,50300,6.2,3.4,2300,50300,4.7,2.9
Chorley,E14000637,7200,53100,13.6,6.4,8100,53100,15.2,6.7,7500,53100,14.1,6.5,7100,53100,13.3,6.4,5600,53100,10.5,5.8,4700,53100,8.9,5.3,4400,53100,8.2,*,5700,53100,10.7,5.8
City of Chester,E14000640,7500,47500,15.9,7.4,15600,47500,32.9,9.5,8800,47500,18.6,7.9,5300,47500,11.2,6.4,2800,47500,5.8,*,1900,47500,4,*,1700,47500,3.6,*,1900,47500,4,*
Congleton,E14000646,6100,45900,13.2,6.1,15100,45900,32.9,8.4,6400,45900,14,6.2,2200,45900,4.7,*,5200,45900,11.4,5.7,2500,45900,5.5,*,3400,45900,7.4,*,1400,45900,3.1,*
Copeland,E14000647,3000,34200,8.9,5.2,6300,34200,18.4,7.1,4700,34200,13.7,6.3,3100,34200,8.9,5.2,4300,34200,12.5,6.1,2200,34200,6.5,*,4000,34200,11.7,5.9,3200,34200,9.4,5.4
Crewe and Nantwich,E14000653,5100,55700,9.1,5.3,10200,55700,18.4,7.2,8100,55700,14.6,6.6,7000,55700,12.6,6.2,5300,55700,9.4,5.4,4500,55700,8.1,*,2800,55700,5,*,4100,55700,7.4,*
Denton and Reddish,E14000661,3900,42500,9.1,3.7,5700,42500,13.3,4.3,5100,42500,11.9,4.1,4500,42500,10.5,3.9,5500,42500,12.9,4.3,4200,42500,9.8,3.8,4300,42500,10.2,3.8,4600,42500,10.9,4
Eddisbury,E14000686,6400,40500,15.8,8.1,7800,40500,19.3,8.8,5800,40500,14.3,7.8,5000,40500,12.3,7.3,4700,40500,11.6,*,3800,40500,9.3,*,1600,40500,4,*,!,40500,!,!
Ellesmere Port and Neston,E14000688,3700,45600,8.2,*,9100,45600,20.1,8.8,10200,45600,22.3,9.2,3300,45600,7.3,*,4100,45600,9,*,4100,45600,8.9,*,2800,45600,6.1,*,3700,45600,8.2,*
Fylde,E14000706,7300,43100,16.8,7.3,7700,43100,17.8,7.5,7100,43100,16.3,7.2,4400,43100,10.2,5.9,5600,43100,12.9,6.6,4100,43100,9.6,5.8,3300,43100,7.7,*,!,43100,!,!
Garston and Halewood,E14000708,7700,60500,12.7,4.4,13300,60500,22,5.4,6000,60500,9.9,3.9,9000,60500,14.9,4.7,2700,60500,4.4,2.7,6300,60500,10.4,4,5500,60500,9.1,3.8,5400,60500,8.9,3.7
Halton,E14000725,3300,45000,7.4,2.5,7600,45000,16.8,3.5,5500,45000,12.3,3.1,5800,45000,12.8,3.2,4900,45000,10.9,2.9,3600,45000,8.1,2.6,5100,45000,11.3,3,3800,45000,8.4,2.6
Hazel Grove,E14000738,4400,39100,11.4,5,10400,39100,26.5,6.9,4700,39100,12,5.1,5400,39100,13.8,5.4,4000,39100,10.2,4.7,2900,39100,7.4,4.1,1900,39100,4.8,*,2900,39100,7.4,4.1
