annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 February 2020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Oct 2018-Sep 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parliamentary constituency 2010,mnemonic,Numerator,Denominator,"% all in employment who are - 1: managers, directors and senior officials (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 2: professional occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 3: associate prof & tech occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 4: administrative and secretarial occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 5: skilled trades occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 7: sales and customer service occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 8: process, plant and machine operatives (SOC2010)",Conf
Warrington North,E14001017,5400,45000,12.1,4,10200,45000,22.6,5.1,6500,45000,14.3,4.3,4500,45000,10,3.7,4100,45000,9.1,3.5,3900,45000,8.6,3.4,2900,45000,6.5,3,3800,45000,8.5,3.4
Warrington South,E14001018,7100,57800,12.4,3.5,16200,57800,28,4.8,9200,57800,16,3.9,4100,57800,7.1,2.8,4600,57800,8,2.9,3800,57800,6.6,2.6,3600,57800,6.3,2.6,3300,57800,5.7,2.5
Weaver Vale,E14001024,5900,46000,12.8,4.5,9700,46000,21.2,5.5,6800,46000,14.8,4.8,5100,46000,11,4.2,3200,46000,7,3.4,4500,46000,9.8,4,2700,46000,5.8,3.1,2900,46000,6.3,3.3
West Lancashire,E14001033,4600,38900,11.7,6.9,8400,38900,21.7,8.8,3600,38900,9.3,*,4500,38900,11.7,6.9,2800,38900,7.2,*,4200,38900,10.7,*,2400,38900,6.1,*,2900,38900,7.3,*
Westmorland and Lonsdale,E14001037,5900,39500,14.8,5.8,5800,39500,14.6,5.8,4100,39500,10.3,5,3800,39500,9.6,4.8,5900,39500,14.9,5.8,3700,39500,9.3,4.8,3100,39500,7.7,4.4,2100,39500,5.3,*
Wigan,E14001039,3900,46400,8.4,4,7000,46400,15.1,5.1,5900,46400,12.7,4.8,4100,46400,8.9,4.1,4600,46400,9.9,4.3,5700,46400,12.3,4.7,3300,46400,7.1,3.7,5100,46400,11,4.5
Wirral South,E14001043,4900,37400,13,5.3,7300,37400,19.4,6.3,6000,37400,16.1,5.8,4600,37400,12.4,5.2,2800,37400,7.4,4.2,4000,37400,10.6,4.9,3600,37400,9.6,4.7,1900,37400,5.1,*
Wirral West,E14001044,4300,32700,13.2,5.6,10100,32700,31,7.7,5800,32700,17.8,6.3,4500,32700,13.7,5.7,800,32700,2.6,*,2000,32700,6.2,*,2700,32700,8.3,4.6,1100,32700,3.4,*
Workington,E14001053,3300,42300,7.7,4.3,8700,42300,20.7,6.6,5100,42300,12.2,5.3,2500,42300,6,*,7200,42300,16.9,6.1,2900,42300,6.8,4.1,3000,42300,7,4.1,3100,42300,7.3,4.2
Worsley and Eccles South,E14001054,6100,57900,10.6,3.5,10100,57900,17.5,4.3,10100,57900,17.5,4.3,6400,57900,11.1,3.6,5000,57900,8.7,3.2,5300,57900,9.2,3.3,4600,57900,8,3.1,4200,57900,7.2,2.9
Wyre and Preston North,E14001057,4900,45400,10.8,6.2,9900,45400,21.9,8.3,10800,45400,23.9,8.6,3800,45400,8.5,*,4800,45400,10.5,6.2,4200,45400,9.3,*,4300,45400,9.5,*,!,45400,!,!
Wythenshawe and Sale East,E14001059,6900,61700,11.2,4.3,14000,61700,22.7,5.7,8100,61700,13.2,4.6,4600,61700,7.5,3.6,3300,61700,5.4,3.1,7600,61700,12.3,4.5,5600,61700,9.1,3.9,4000,61700,6.5,3.4
Barnsley Central,E14000541,3300,45000,7.3,3.3,7300,45000,16.1,4.7,5800,45000,12.8,4.2,2500,45000,5.7,2.9,7500,45000,16.7,4.7,5000,45000,11.1,4,4800,45000,10.8,3.9,3300,45000,7.3,3.3
Barnsley East,E14000542,4800,44000,10.8,4,3200,44000,7.2,3.3,5100,44000,11.6,4.1,4700,44000,10.7,3.9,5800,44000,13.1,4.3,6000,44000,13.7,4.4,3400,44000,7.7,3.4,5700,44000,12.8,4.3
Batley and Spen,E14000548,4300,48000,8.9,4.3,7600,48000,15.8,5.5,9000,48000,18.8,5.9,3900,48000,8.2,4.1,5000,48000,10.5,4.6,2900,48000,6.1,3.6,6200,48000,12.8,5,3400,48000,7.1,3.9
Beverley and Holderness,E14000556,6300,47100,13.4,4.8,10000,47100,21.2,5.8,7900,47100,16.8,5.3,4700,47100,9.9,4.2,5800,47100,12.3,4.6,3100,47100,6.5,3.5,2100,47100,4.5,*,1800,47100,3.9,*
Bradford East,E14000587,3400,42400,8.1,5,5100,42400,11.9,6,2300,42400,5.5,*,2000,42400,4.6,*,4200,42400,10,5.5,5800,42400,13.7,6.3,3000,42400,7,*,8700,42400,20.6,7.5
Bradford South,E14000588,3800,43400,8.7,5.1,8100,43400,18.6,7.1,4300,43400,9.9,5.4,3500,43400,8,*,5000,43400,11.6,5.8,4100,43400,9.4,5.3,4200,43400,9.6,5.3,3700,43400,8.5,5.1
Bradford West,E14000589,2900,42700,6.8,*,3600,42700,8.5,5.2,6900,42700,16.1,6.9,4200,42700,9.7,5.5,3300,42700,7.7,*,6000,42700,14.1,6.5,5300,42700,12.4,6.2,5400,42700,12.7,6.2
Brigg and Goole,E14000596,5100,43400,11.6,3.8,5200,43400,11.9,3.9,4900,43400,11.3,3.8,3400,43400,7.9,3.2,5900,43400,13.5,4.1,4900,43400,11.4,3.8,2500,43400,5.7,2.8,5600,43400,13,4
Calder Valley,E14000614,6900,55100,12.6,3.3,12900,55100,23.4,4.2,9400,55100,17.1,3.7,4600,55100,8.4,2.8,4700,55100,8.6,2.8,5200,55100,9.5,2.9,2800,55100,5.2,2.2,2900,55100,5.3,2.2
Cleethorpes,E14000643,5600,41100,13.6,3.5,6600,41100,16.2,3.8,4600,41100,11.1,3.2,3000,41100,7.3,2.7,5500,41100,13.5,3.5,3800,41100,9.2,3,3000,41100,7.3,2.7,3300,41100,8.1,2.8
Colne Valley,E14000645,7300,58400,12.5,4.5,14500,58400,24.8,5.8,9500,58400,16.3,5,6300,58400,10.8,4.2,5900,58400,10.1,4.1,3900,58400,6.7,3.4,4300,58400,7.4,3.5,3500,58400,6.1,3.2
Dewsbury,E14000666,5100,48500,10.6,4.6,9000,48500,18.5,5.8,7500,48500,15.5,5.4,4500,48500,9.4,4.3,5100,48500,10.5,4.5,4600,48500,9.4,4.3,4600,48500,9.5,4.4,2800,48500,5.8,3.5
Don Valley,E14000667,4300,46100,9.4,4,6800,46100,14.7,4.9,7400,46100,16,5.1,5100,46100,11,4.3,5400,46100,11.7,4.4,4300,46100,9.3,4,2700,46100,5.9,3.3,4800,46100,10.3,4.2
Doncaster Central,E14000668,2600,47800,5.3,3.1,5800,47800,12.2,4.5,4300,47800,9,3.9,4900,47800,10.3,4.2,5400,47800,11.2,4.3,8000,47800,16.7,5.1,4200,47800,8.7,3.9,3800,47800,8,3.7
Doncaster North,E14000669,3700,44300,8.3,3.9,5600,44300,12.8,4.7,6700,44300,15.2,5,3700,44300,8.3,3.9,5100,44300,11.5,4.5,3100,44300,7,3.6,6000,44300,13.5,4.8,4700,44300,10.7,4.3
East Yorkshire,E14000683,7300,52000,14.1,4.6,8400,52000,16.1,4.8,6600,52000,12.6,4.4,4600,52000,8.8,3.7,6600,52000,12.6,4.4,6200,52000,12,4.3,3900,52000,7.5,3.5,1700,52000,3.3,*
Elmet and Rothwell,E14000689,7200,54300,13.2,6,12300,54300,22.5,7.4,10600,54300,19.6,7,6200,54300,11.5,5.6,5200,54300,9.5,5.2,3100,54300,5.8,*,3700,54300,6.7,*,2300,54300,4.2,*
Great Grimsby,E14000716,3200,39100,8.2,2.8,4200,39100,10.6,3.2,3400,39100,8.6,2.9,2900,39100,7.4,2.7,4200,39100,10.6,3.2,5800,39100,14.7,3.6,3200,39100,8.3,2.8,7000,39100,17.8,3.9
Halifax,E14000723,4400,47400,9.2,3.1,6600,47400,13.9,3.8,4100,47400,8.6,3,6100,47400,12.9,3.6,5100,47400,10.7,3.3,6700,47400,14.1,3.8,3700,47400,7.8,2.9,4900,47400,10.4,3.3
Haltemprice and Howden,E14000724,5400,33500,16.2,6.1,7700,33500,23.1,7,4200,33500,12.6,5.5,3900,33500,11.7,5.4,4100,33500,12.3,5.5,1800,33500,5.5,*,3000,33500,8.8,4.7,1300,33500,3.8,*
Harrogate and Knaresborough,E14000730,8800,52500,16.8,6.5,11500,52500,22,7.2,7300,52500,13.9,6,5100,52500,9.7,5.1,4000,52500,7.6,*,5400,52500,10.2,5.2,4300,52500,8.2,4.8,1500,52500,2.9,*
Hemsworth,E14000740,3200,41500,7.7,4,7300,41500,17.7,5.7,4400,41500,10.5,4.6,2500,41500,6,3.5,3200,41500,7.7,4,4300,41500,10.5,4.6,5000,41500,12,4.8,3800,41500,9.1,4.3
Huddersfield,E14000756,4700,46400,10.1,4.6,6700,46400,14.4,5.4,5500,46400,11.9,5,7900,46400,16.9,5.8,4400,46400,9.5,4.5,4200,46400,9.1,4.4,3100,46400,6.8,3.9,4400,46400,9.5,4.5
Keighley,E14000766,4000,48800,8.2,4.7,8100,48800,16.6,6.3,3700,48800,7.6,4.5,3800,48800,7.7,4.5,5700,48800,11.7,5.5,6900,48800,14.1,5.9,7900,48800,16.2,6.3,4100,48800,8.5,4.8
Kingston upon Hull East,E14000771,4000,40800,9.8,4.3,5400,40800,13.3,4.9,3900,40800,9.4,4.2,4600,40800,11.3,4.6,5500,40800,13.5,4.9,3400,40800,8.4,4,5200,40800,12.8,4.8,3600,40800,8.7,4.1
Kingston upon Hull North,E14000772,4300,50100,8.6,3.7,7500,50100,15,4.7,5500,50100,11,4.1,3500,50100,6.9,3.3,4900,50100,9.9,3.9,6600,50100,13.1,4.5,4700,50100,9.4,3.8,7300,50100,14.6,4.7
Kingston upon Hull West and Hessle,E14000773,3400,40300,8.3,4,6300,40300,15.6,5.3,3800,40300,9.4,4.2,3200,40300,8,4,3700,40300,9.2,4.2,2900,40300,7.3,3.8,4000,40300,10,4.4,3500,40300,8.7,4.1
Leeds Central,E14000777,2700,51600,5.3,*,12000,51600,23.4,7.9,5100,51600,10,5.6,1600,51600,3.1,*,4500,51600,8.6,5.3,7400,51600,14.4,6.6,3900,51600,7.5,*,5100,51600,9.9,5.6
Leeds East,E14000778,3700,51100,7.3,*,7400,51100,14.5,6.5,5300,51100,10.3,5.6,2600,51100,5.1,*,7800,51100,15.2,6.6,5000,51100,9.8,5.5,5300,51100,10.3,5.6,5900,51100,11.5,5.9
Leeds North East,E14000779,5200,43100,12,6.3,15600,43100,36.1,9.3,8000,43100,18.5,7.5,2500,43100,5.9,*,3700,43100,8.7,*,2200,43100,5.1,*,2200,43100,5,*,!,43100,!,!
Leeds North West,E14000780,4600,50700,9,5.4,15000,50700,29.5,8.5,9300,50700,18.4,7.2,1900,50700,3.8,*,4100,50700,8,*,4200,50700,8.2,*,4500,50700,8.8,*,2500,50700,4.9,*
Leeds West,E14000781,3200,51900,6.1,*,8200,51900,15.8,6.7,8100,51900,15.6,6.6,3500,51900,6.7,*,5900,51900,11.3,5.8,4700,51900,9,5.2,5500,51900,10.6,5.6,5700,51900,11,5.7
Morley and Outwood,E14000826,3800,56300,6.7,3.8,8600,56300,15.3,5.5,11500,56300,20.4,6.2,7800,56300,13.9,5.3,6100,56300,10.9,4.8,5100,56300,9,4.4,4600,56300,8.1,4.2,3100,56300,5.4,3.5
"Normanton, Pontefract and Castleford",E14000836,3000,54000,5.6,3,8800,54000,16.3,4.8,7000,54000,12.9,4.4,6600,54000,12.1,4.2,6900,54000,12.7,4.3,4500,54000,8.3,3.6,4400,54000,8.2,3.6,4800,54000,9,3.7
Penistone and Stocksbridge,E14000876,5200,49600,10.6,4.6,12000,49600,24.2,6.4,9200,49600,18.5,5.8,5200,49600,10.5,4.6,4300,49600,8.7,4.2,4100,49600,8.3,4.2,3400,49600,6.8,3.8,3200,49600,6.5,3.7
Pudsey,E14000886,6700,55400,12.1,5.6,13500,55400,24.3,7.4,10000,55400,18.1,6.7,6000,55400,10.9,5.4,4100,55400,7.4,4.5,5200,55400,9.4,5.1,5500,55400,9.9,5.2,!,55400,!,!
Richmond (Yorks),E14000895,3500,48900,7.1,*,9100,48900,18.7,7.3,6500,48900,13.3,6.3,5200,48900,10.6,5.7,7600,48900,15.6,6.7,4800,48900,9.8,5.5,3600,48900,7.4,4.9,2900,48900,5.9,*
Rother Valley,E14000903,4600,41200,11.1,4.4,7900,41200,19.1,5.5,7500,41200,18.1,5.4,3600,41200,8.8,3.9,4500,41200,10.9,4.3,4200,41200,10.3,4.2,2200,41200,5.4,3.2,2700,41200,6.6,3.5
Rotherham,E14000904,3200,40800,7.9,3.9,6200,40800,15.2,5.1,4300,40800,10.6,4.4,4100,40800,10,4.3,5700,40800,14.1,5,6000,40800,14.8,5.1,3400,40800,8.5,4,3500,40800,8.7,4
Scarborough and Whitby,E14000913,6200,47000,13.2,6,6900,47000,14.7,6.3,2500,47000,5.3,*,4400,47000,9.4,5.2,5100,47000,10.9,5.5,7800,47000,16.6,6.6,3000,47000,6.4,*,3800,47000,8.1,4.8
Scunthorpe,E14000914,3300,38800,8.4,3.3,3400,38800,8.8,3.3,3600,38800,9.2,3.4,2700,38800,7.1,3,5700,38800,14.8,4.2,5800,38800,15,4.2,2000,38800,5,2.6,5400,38800,14,4.1
Selby and Ainsty,E14000917,5000,49000,10.2,5.1,5800,49000,11.9,5.4,9200,49000,18.8,6.5,6700,49000,13.6,5.7,5200,49000,10.5,5.1,3200,49000,6.4,*,3500,49000,7.2,4.3,3600,49000,7.4,4.4
Sheffield Central,E14000919,11000,63400,17.3,6.8,18800,63400,29.7,8.2,8700,63400,13.7,6.2,5400,63400,8.4,5,2800,63400,4.5,*,3000,63400,4.7,*,3800,63400,6,*,2300,63400,3.7,*
Sheffield South East,E14000920,3100,40800,7.6,*,7100,40800,17.5,8.1,6800,40800,16.7,7.9,2700,40800,6.7,*,5300,40800,13,7.2,4200,40800,10.3,*,5100,40800,12.4,7,3800,40800,9.2,*
"Sheffield, Brightside and Hillsborough",E14000921,2100,43500,4.8,*,9900,43500,22.8,8.9,3500,43500,8.1,*,4600,43500,10.5,*,4300,43500,9.8,*,4200,43500,9.6,*,5700,43500,13,7.1,4400,43500,10.2,*
"Sheffield, Hallam",E14000922,7700,58800,13,5.9,25000,58800,42.4,8.7,8200,58800,13.9,6.1,5100,58800,8.7,4.9,3900,58800,6.6,*,3100,58800,5.3,*,1900,58800,3.2,*,1100,58800,1.9,*
"Sheffield, Heeley",E14000923,4600,51900,8.9,5.4,13100,51900,25.2,8.3,5700,51900,10.9,6,7700,51900,14.8,6.8,4200,51900,8,*,6100,51900,11.8,6.2,4300,51900,8.2,*,1800,51900,3.5,*
Shipley,E14000925,7300,48900,14.9,6,12900,48900,26.4,7.4,6600,48900,13.5,5.8,5900,48900,12,5.5,4400,48900,9,4.8,4400,48900,9,4.8,2900,48900,6,*,2900,48900,5.8,*
Skipton and Ripon,E14000928,8500,52200,16.3,6.5,9800,52200,18.7,6.9,6400,52200,12.2,5.8,3800,52200,7.2,*,8300,52200,16,6.5,4700,52200,9,5.1,3300,52200,6.4,*,2800,52200,5.4,*
Thirsk and Malton,E14000993,3000,48400,6.2,*,13000,48400,26.9,7.8,8200,48400,17,6.6,3700,48400,7.6,*,5600,48400,11.5,5.6,4700,48400,9.8,5.2,4200,48400,8.8,5,2400,48400,4.9,*
Wakefield,E14001009,4600,46600,9.9,4.2,9700,46600,20.7,5.6,6400,46600,13.7,4.8,3000,46600,6.4,3.4,5700,46600,12.1,4.5,4300,46600,9.3,4,3200,46600,6.9,3.5,4200,46600,9,4
Wentworth and Dearne,E14001028,3200,44200,7.3,3.5,7500,44200,17,5,4000,44200,9,3.8,4700,44200,10.7,4.1,5400,44200,12.2,4.4,3200,44200,7.2,3.4,7000,44200,15.9,4.9,3400,44200,7.6,3.5
York Central,E14001061,5800,58700,9.8,3.1,15000,58700,25.6,4.5,7100,58700,12,3.4,4500,58700,7.7,2.8,4100,58700,7,2.7,4700,58700,8,2.8,4700,58700,8,2.8,3000,58700,5.1,2.3
York Outer,E14001062,8100,51300,15.9,4,11600,51300,22.7,4.5,7500,51300,14.7,3.8,4700,51300,9.3,3.1,4400,51300,8.6,3,4200,51300,8.2,3,2700,51300,5.2,2.4,3100,51300,6,2.6
Amber Valley,E14000533,4200,47400,8.9,*,6000,47400,12.6,6.6,8400,47400,17.8,7.6,6900,47400,14.5,7,5300,47400,11.1,6.3,2500,47400,5.2,*,2800,47400,6,*,4800,47400,10.1,*
Ashfield,E14000535,3800,49900,7.7,4.7,6700,49900,13.4,6,8000,49900,16.1,6.5,5800,49900,11.6,5.7,6600,49900,13.2,6,6000,49900,12,5.8,3900,49900,7.8,*,4800,49900,9.6,5.2
Bassetlaw,E14000546,4300,49000,8.9,5.1,5600,49000,11.4,5.7,3600,49000,7.3,*,3700,49000,7.6,4.8,5200,49000,10.5,5.5,6600,49000,13.5,6.1,5100,49000,10.5,5.5,7800,49000,16,6.6
Bolsover,E14000577,2900,45900,6.2,*,6400,45900,13.9,7.3,5600,45900,12.3,6.9,3100,45900,6.7,*,8500,45900,18.4,8.1,5800,45900,12.6,7,4400,45900,9.5,*,3700,45900,8.1,*
Boston and Skegness,E14000582,2000,43400,4.6,*,3700,43400,8.4,*,2300,43400,5.3,*,4200,43400,9.7,*,2800,43400,6.5,*,4800,43400,11.1,*,7300,43400,16.7,8.3,10700,43400,24.6,9.6
Bosworth,E14000583,10400,58100,18,7,12100,58100,20.8,7.5,12300,58100,21.1,7.5,6700,58100,11.5,5.9,2200,58100,3.7,*,5300,58100,9.1,5.3,3900,58100,6.7,*,1600,58100,2.7,*
Broxtowe,E14000607,5900,51300,11.6,5.2,14100,51300,27.5,7.3,3900,51300,7.7,4.4,4800,51300,9.3,4.8,6100,51300,11.9,5.3,5700,51300,11.2,5.2,1700,51300,3.2,*,3900,51300,7.6,4.4
Charnwood,E14000625,7100,56600,12.6,5.9,13900,56600,24.5,7.7,7700,56600,13.6,6.1,7000,56600,12.4,5.9,6200,56600,10.9,5.5,5200,56600,9.1,5.1,2600,56600,4.7,*,4600,56600,8.1,4.9
Chesterfield,E14000632,2400,39900,6.1,*,8900,39900,22.2,8.5,1900,39900,4.8,*,3900,39900,9.7,*,4100,39900,10.2,*,7100,39900,17.7,7.8,4500,39900,11.3,6.5,1200,39900,2.9,*
Corby,E14000648,6400,69900,9.2,4.7,11500,69900,16.4,6.1,10600,69900,15.2,5.9,8800,69900,12.6,5.4,8100,69900,11.6,5.2,5500,69900,7.9,4.4,3600,69900,5.2,*,8300,69900,11.8,5.3
Daventry,E14000660,7400,50200,14.7,6.5,11200,50200,22.4,7.7,8300,50200,16.5,6.9,4000,50200,8,*,4000,50200,8,*,3500,50200,7,*,1800,50200,3.7,*,4000,50200,7.9,5
Derby North,E14000662,6000,54200,11,3.5,11500,54200,21.1,4.6,7800,54200,14.3,3.9,5300,54200,9.7,3.3,5800,54200,10.7,3.5,4900,54200,9,3.2,4400,54200,8.2,3.1,3500,54200,6.4,2.7
Derby South,E14000663,2300,42200,5.4,2.8,6000,42200,14.2,4.4,5400,42200,12.8,4.2,3100,42200,7.3,3.3,3100,42200,7.4,3.3,3900,42200,9.3,3.7,4000,42200,9.4,3.7,6600,42200,15.8,4.6
Derbyshire Dales,E14000664,6400,43100,14.8,6.6,12400,43100,28.8,8.5,3500,43100,8,*,2500,43100,5.8,*,7200,43100,16.6,7,1700,43100,3.9,*,1700,43100,3.9,*,2500,43100,5.7,*
Erewash,E14000695,5000,49900,10.1,5.2,8000,49900,16,6.3,7400,49900,14.9,6.1,4200,49900,8.4,4.7,6600,49900,13.2,5.8,4800,49900,9.7,5.1,3700,49900,7.5,4.5,4300,49900,8.6,4.8
Gainsborough,E14000707,5200,44800,11.6,6.4,9500,44800,21.2,8.2,3900,44800,8.8,*,3300,44800,7.3,*,6000,44800,13.3,6.8,6500,44800,14.4,7.1,2000,44800,4.5,*,3700,44800,8.2,*
Gedling,E14000710,3200,45300,7.1,*,9400,45300,20.8,7.6,6600,45300,14.4,6.6,4600,45300,10,5.6,2700,45300,6,*,5900,45300,13.1,6.3,4300,45300,9.5,5.5,4500,45300,10,5.6
Grantham and Stamford,E14000714,9200,49700,18.6,7.5,8700,49700,17.5,7.4,9000,49700,18.1,7.5,4100,49700,8.3,*,5000,49700,10.1,5.9,3700,49700,7.5,*,2300,49700,4.5,*,2700,49700,5.4,*
Harborough,E14000728,9900,56300,17.7,7,10100,56300,17.9,7,9400,56300,16.6,6.8,6400,56300,11.3,5.8,6200,56300,10.9,5.7,1300,56300,2.2,*,5600,56300,9.9,5.5,2400,56300,4.3,*
High Peak,E14000748,4600,43500,10.6,6.3,7500,43500,17.3,7.7,9100,43500,20.9,8.3,4800,43500,11,6.4,5700,43500,13,6.9,4100,43500,9.4,*,1300,43500,3.1,*,1900,43500,4.3,*
Kettering,E14000769,4700,47700,9.8,5.7,9700,47700,20.3,7.8,6700,47700,14.1,6.7,4600,47700,9.6,5.7,7400,47700,15.5,7,5000,47700,10.5,5.9,2600,47700,5.4,*,3600,47700,7.6,*
Leicester East,E14000782,3100,55800,5.6,3.4,6000,55800,10.7,4.6,5600,55800,10,4.5,5800,55800,10.5,4.5,4500,55800,8.1,4,6300,55800,11.4,4.7,4500,55800,8,4,10100,55800,18.1,5.7
Leicester South,E14000783,4300,55600,7.7,4,14000,55600,25.2,6.5,5600,55600,10,4.5,4800,55600,8.6,4.2,5600,55600,10.1,4.5,4200,55600,7.5,3.9,3800,55600,6.7,3.7,3500,55600,6.3,3.6
Leicester West,E14000784,3200,52700,6,3.7,10300,52700,19.5,6.1,5500,52700,10.4,4.7,2800,52700,5.3,*,5900,52700,11.3,4.9,4500,52700,8.5,4.3,2900,52700,5.5,*,6400,52700,12.1,5
Lincoln,E14000792,4400,56600,7.8,4.5,7500,56600,13.2,5.6,9800,56600,17.4,6.3,6700,56600,11.9,5.4,6100,56600,10.8,5.2,3400,56600,6,3.9,8200,56600,14.4,5.8,3100,56600,5.5,*
Loughborough,E14000797,5200,56300,9.3,5.4,14700,56300,26,8.2,7800,56300,13.9,6.4,3900,56300,7,*,7800,56300,13.9,6.4,2400,56300,4.2,*,2600,56300,4.6,*,5400,56300,9.5,5.5
Louth and Horncastle,E14000798,8200,43500,18.9,8.5,7200,43500,16.6,8.1,4700,43500,10.8,*,2900,43500,6.8,*,9700,43500,22.4,9.1,4700,43500,10.9,*,1700,43500,3.8,*,!,43500,!,!
Mansfield,E14000810,4500,51000,8.9,5,6800,51000,13.3,6,4500,51000,8.8,5,3800,51000,7.5,4.6,9000,51000,17.6,6.7,8100,51000,16,6.5,5800,51000,11.3,5.6,4600,51000,9,5.1
Mid Derbyshire,E14000814,5300,48800,11,4.4,12700,48800,25.9,6.1,6400,48800,13.1,4.7,5600,48800,11.6,4.5,4300,48800,8.8,3.9,3400,48800,6.9,3.5,4600,48800,9.4,4.1,2700,48800,5.5,3.2
Newark,E14000829,7800,56400,13.8,5.8,10800,56400,19.2,6.6,7200,56400,12.8,5.6,5300,56400,9.4,4.9,7100,56400,12.5,5.5,4800,56400,8.4,4.7,2600,56400,4.5,*,2000,56400,3.5,*
North East Derbyshire,E14000843,5500,43100,12.7,7.3,7300,43100,17,8.2,7000,43100,16.3,8.1,6000,43100,14,7.6,5600,43100,13,*,2600,43100,6.1,*,2500,43100,5.8,*,3200,43100,7.4,*
North West Leicestershire,E14000858,8000,47200,17,7.4,6400,47200,13.7,6.8,7000,47200,14.9,7,4300,47200,9.1,5.7,9400,47200,19.9,7.9,5300,47200,11.2,6.2,1700,47200,3.6,*,2500,47200,5.3,*
Northampton North,E14000861,3700,40600,9.2,*,10000,40600,24.7,10.3,3100,40600,7.6,*,5300,40600,13.1,*,!,40600,!,!,3100,40600,7.7,*,2800,40600,6.9,*,4500,40600,11.1,*
Northampton South,E14000862,3500,56500,6.3,*,8100,56500,14.3,7,8800,56500,15.6,7.3,5900,56500,10.4,6.1,5900,56500,10.4,6.1,5200,56500,9.1,*,4500,56500,8,*,6400,56500,11.4,6.4
Nottingham East,E14000865,3400,46500,7.4,3.6,9600,46500,20.6,5.5,6000,46500,12.9,4.6,3200,46500,6.9,3.5,1900,46500,4.1,*,6200,46500,13.4,4.7,6300,46500,13.6,4.7,2200,46500,4.7,*
Nottingham North,E14000866,2100,47400,4.3,2.7,5400,47400,11.4,4.2,3800,47400,7.9,3.6,4700,47400,10,3.9,6600,47400,13.9,4.6,7500,47400,15.9,4.8,4900,47400,10.3,4,4100,47400,8.7,3.7
Nottingham South,E14000867,3600,54400,6.6,3.1,13000,54400,23.8,5.3,9000,54400,16.5,4.6,4300,54400,7.9,3.3,4000,54400,7.4,3.2,6500,54400,11.9,4,3700,54400,6.7,3.1,3400,54400,6.3,3
Rushcliffe,E14000908,9500,50600,18.9,7,18600,50600,36.7,8.6,9200,50600,18.2,6.9,7600,50600,15.1,6.4,1700,50600,3.3,*,1200,50600,2.4,*,!,50600,!,!,!,50600,!,!
Rutland and Melton,E14000909,6900,45200,15.2,4.1,5400,45200,12.1,3.7,7000,45200,15.4,4.1,4100,45200,9,3.3,4500,45200,9.9,3.4,4200,45200,9.3,3.3,4000,45200,8.9,3.3,2700,45200,6,2.7
Sherwood,E14000924,5400,47300,11.3,5.8,7100,47300,15,6.6,7200,47300,15.3,6.6,5200,47300,11.1,5.8,4700,47300,9.9,5.5,5000,47300,10.6,5.7,4200,47300,9,*,3400,47300,7.1,*
Sleaford and North Hykeham,E14000929,6300,61100,10.3,4.9,10600,61100,17.4,6.2,6400,61100,10.4,5,4400,61100,7.2,4.2,10500,61100,17.2,6.1,7600,61100,12.4,5.4,4300,61100,7,4.1,3500,61100,5.7,*
South Derbyshire,E14000935,8500,58200,14.6,5.9,11200,58200,19.2,6.6,7400,58200,12.8,5.6,5900,58200,10.1,5,10700,58200,18.4,6.5,2800,58200,4.8,*,2200,58200,3.9,*,4600,58200,7.9,4.5
South Holland and The Deepings,E14000939,8100,53900,15,6.6,3900,53900,7.2,*,3900,53900,7.2,*,3900,53900,7.3,*,9600,53900,17.8,7.1,7300,53900,13.5,6.3,2300,53900,4.2,*,10100,53900,18.6,7.2
South Leicestershire,E14000940,7800,55300,14.1,6,6400,55300,11.6,5.6,6700,55300,12.1,5.6,7000,55300,12.6,5.8,6300,55300,11.3,5.5,7600,55300,13.8,6,4800,55300,8.7,4.9,1500,55300,2.7,*
South Northamptonshire,E14000942,9600,61200,15.7,6.4,15900,61200,25.9,7.7,9000,61200,14.7,6.2,9100,61200,14.8,6.2,5300,61200,8.6,4.9,3500,61200,5.7,*,!,61200,!,!,2600,61200,4.2,*
Wellingborough,E14001025,4400,53900,8.2,*,6800,53900,12.6,6.4,5200,53900,9.6,5.7,6200,53900,11.4,6.1,12000,53900,22.2,8,3900,53900,7.2,*,6600,53900,12.3,6.3,3500,53900,6.5,*
